Experiment,Antibiotic,Sample,sample_group,Lineage,timepoint,n_replicates,n_censored,max_conc_tested,mic_min,mic_max,mic_median,mic_mean,mic_geometric_mean,mic_geo_se_lower,mic_geo_se_upper,ancestor_mic,relative_mic
Exp1,MRP,M1,M-lines,evolved,16h,3,0,32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,MRP,M1,M-lines,evolved,24h,3,0,32,0.125,0.38,0.38,0.295,0.2623165763208581,0.18107891108604354,0.38000000000000006,NA,NA
Exp1,MRP,M2,M-lines,evolved,16h,3,0,32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,MRP,M2,M-lines,evolved,24h,3,0,32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,MRP,M3,M-lines,evolved,16h,3,0,32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,MRP,M3,M-lines,evolved,24h,3,0,32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,MRP,NA1,N-lines,evolved,16h,2,0,32,0.047,0.047,0.047,0.047,0.04700000000000001,0.04700000000000001,0.04700000000000001,NA,NA
Exp1,MRP,NA1,N-lines,evolved,24h,2,0,32,0.047,0.047,0.047,0.047,0.04700000000000001,0.04700000000000001,0.04700000000000001,NA,NA
Exp1,TOB,NA1,N-lines,evolved,16h,2,0,256,0.016,0.016,0.016,0.016,0.015999999999999997,0.015999999999999997,0.015999999999999997,NA,NA
Exp1,TOB,NA1,N-lines,evolved,24h,2,0,256,0.016,0.047,0.0315,0.0315,0.027422618401604173,0.015999999999999997,0.04700000000000001,NA,NA
Exp1,TOB,T1,T-lines,evolved,16h,3,0,256,0.38,0.38,0.38,0.38,0.38,0.38,0.38,NA,NA
Exp1,TOB,T1,T-lines,evolved,24h,3,0,256,1,3,1,1.6666666666666667,1.4422495703074083,1,2.080083823051904,NA,NA
Exp1,TOB,T2,T-lines,evolved,16h,3,0,256,0.38,1,1,0.7933333333333333,0.7243156443441741,0.5246331526417161,1,NA,NA
Exp1,TOB,T2,T-lines,evolved,24h,3,0,256,3,3,3,3,3.0000000000000004,3.0000000000000004,3.0000000000000004,NA,NA
Exp1,TOB,T3,T-lines,evolved,16h,3,0,256,1,1,1,1,1,1,1,NA,NA
Exp1,TOB,T3,T-lines,evolved,24h,3,0,256,3,3,3,3,3.0000000000000004,3.0000000000000004,3.0000000000000004,NA,NA
Exp2.1,TOB,NA1,N-lines,evolved,16h,3,0,256,0.125,0.125,0.125,0.125,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1
Exp2.1,TOB,NA1,N-lines,evolved,24h,3,0,256,0.125,0.125,0.125,0.125,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1
Exp2.1,TOB,NA2,N-lines,evolved,16h,3,0,256,0.125,0.125,0.125,0.125,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1
Exp2.1,TOB,NA2,N-lines,evolved,24h,3,0,256,0.125,0.125,0.125,0.125,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1
Exp2.1,TOB,NA3,N-lines,evolved,16h,3,0,256,0.125,0.38,0.125,0.21,0.18107891108604354,0.12500000000000003,0.2623165763208581,0.12500000000000003,1.4486312886883481
Exp2.1,TOB,NA3,N-lines,evolved,24h,3,0,256,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.12500000000000003,3.039999999999999
Exp2.2,MRP,NA1,N-lines,evolved,24h,3,0,256,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.2623165763208581,1.448631288688348
Exp2.2,MRP,NA2,N-lines,evolved,24h,3,0,256,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,1
Exp2.2,MRP,NA3,N-lines,evolved,24h,3,0,256,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,1
