Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
A1,0.087,0,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.003333333333333341,NA,NA
A2,0.093,0,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,NA,NA
A3,0.091,0,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,NA,NA
A4,0.094,0,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0036666666666666653,NA,NA
A5,0.095,0,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,NA,NA
A6,0.095,0,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,1
A7,0.093,0,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,2
A8,0.091,0,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
A9,0.093,0,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,NA,NA
A10,0.093,0,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,1
A11,0.093,0,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,2
A12,0.092,0,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,3
B1,0.09,0,sample,0.002,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B2,0.089,0,sample,0.006,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,N-lines,1
B3,0.09,0,sample,0.016,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B4,0.091,0,sample,0.047,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B5,0.096,0,sample,0.125,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.005666666666666667,N-lines,1
B6,0.092,0,sample,0.38,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,N-lines,1
B7,0.091,0,sample,1,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B8,0.091,0,sample,2,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B9,0.094,0,sample,4,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0036666666666666653,N-lines,1
B10,0.09,0,sample,8,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B11,0.091,0,sample,16,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B12,0.09,0,sample,32,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
C1,0.089,0,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,1
C2,0.089,0,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,1
C3,0.088,0,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.00233333333333334,M-lines,1
C4,0.09,0,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,1
C5,0.091,0,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
C6,0.09,0,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,1
C7,0.091,0,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
C8,0.09,0,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,1
C9,0.091,0,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
C10,0.091,0,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
C11,0.091,0,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
C12,0.093,0,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,1
D1,0.09,0,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
D2,0.09,0,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
D3,0.089,0,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,2
D4,0.089,0,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,2
D5,0.089,0,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,2
D6,0.088,0,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.00233333333333334,M-lines,2
D7,0.09,0,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
D8,0.091,0,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
D9,0.091,0,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
D10,0.091,0,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
D11,0.099,0,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.00866666666666667,M-lines,2
D12,0.091,0,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
E1,0.091,0,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
E2,0.091,0,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
E3,0.09,0,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
E4,0.09,0,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
E5,0.09,0,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
E6,0.089,0,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,3
E7,0.089,0,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,3
E8,0.09,0,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
E9,0.091,0,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
E10,0.091,0,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
E11,0.091,0,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
E12,0.091,0,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
F1,0.09,0,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,1
F2,0.093,0,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,1
F3,0.093,0,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,1
