Well,Type,Concentration,Sample,Antibiotic,OD_t0,OD_t16,OD_t24,Plate,Experiment,OD_t0_blanked,OD_t16_blanked,OD_t24_blanked,growth_16h,growth_24h,well_type
A1,blank,NA,NA,MRP,0.087,0.088,0.088,Plate1,Exp1,-0.003333333333333341,-0.00233333333333334,-0.0010000000000000009,0.0010000000000000009,0.00233333333333334,blank
A2,blank,NA,NA,MRP,0.093,0.093,0.091,Plate1,Exp1,0.0026666666666666644,0.0026666666666666644,0.0020000000000000018,0,-6.666666666666626e-4,blank
A3,blank,NA,NA,MRP,0.091,0.09,0.088,Plate1,Exp1,6.666666666666626e-4,-3.3333333333333826e-4,-0.0010000000000000009,-0.0010000000000000009,-0.0016666666666666635,blank
A4,empty,NA,NA,MRP,0.094,0.094,0.091,Plate1,Exp1,0.0036666666666666653,0.0036666666666666653,0.0020000000000000018,0,-0.0016666666666666635,empty
A5,empty,NA,NA,MRP,0.095,0.094,0.089,Plate1,Exp1,0.004666666666666666,0.0036666666666666653,0,-0.0010000000000000009,-0.004666666666666666,empty
A6,sample,0,M1,MRP,0.095,0.28,0.421,Plate1,Exp1,0.004666666666666666,0.1896666666666667,0.33199999999999996,0.18500000000000005,0.3273333333333333,growth_control
A7,sample,0,M1,MRP,0.093,0.258,0.393,Plate1,Exp1,0.0026666666666666644,0.16766666666666669,0.30400000000000005,0.16500000000000004,0.3013333333333334,growth_control
A8,sample,0,M1,MRP,0.091,0.267,0.399,Plate1,Exp1,6.666666666666626e-4,0.1766666666666667,0.31000000000000005,0.17600000000000005,0.3093333333333334,growth_control
A9,empty,NA,NA,MRP,0.093,0.093,0.092,Plate1,Exp1,0.0026666666666666644,0.0026666666666666644,0.0030000000000000027,0,3.3333333333333826e-4,empty
A10,sample,0,M2,MRP,0.093,0.295,0.396,Plate1,Exp1,0.0026666666666666644,0.20466666666666666,0.30700000000000005,0.202,0.3043333333333334,growth_control
A11,sample,0,M2,MRP,0.093,0.293,0.387,Plate1,Exp1,0.0026666666666666644,0.20266666666666666,0.29800000000000004,0.2,0.2953333333333334,growth_control
A12,sample,0,M2,MRP,0.092,0.264,0.374,Plate1,Exp1,0.0016666666666666635,0.1736666666666667,0.28500000000000003,0.17200000000000004,0.2833333333333334,growth_control
B1,sample,0.002,NA1,MRP,0.09,0.349,0.486,Plate1,Exp1,-3.3333333333333826e-4,0.25866666666666666,0.397,0.259,0.39733333333333337,treatment
B2,sample,0.006,NA1,MRP,0.089,0.571,0.576,Plate1,Exp1,-0.0013333333333333391,0.48066666666666663,0.487,0.482,0.48833333333333334,treatment
B3,sample,0.016,NA1,MRP,0.09,0.203,0.264,Plate1,Exp1,-3.3333333333333826e-4,0.11266666666666668,0.17500000000000002,0.11300000000000002,0.17533333333333334,treatment
