Experiment,Plate,Sample,Antibiotic,replicate,mic,timepoint
Exp1,Plate1,M1,MRP,1,0.38,16h
Exp1,Plate1,M1,MRP,2,0.38,16h
Exp1,Plate1,M1,MRP,3,0.38,16h
Exp1,Plate1,M2,MRP,1,0.38,16h
Exp1,Plate1,M2,MRP,2,0.38,16h
Exp1,Plate1,M2,MRP,3,0.38,16h
Exp1,Plate1,NA1,MRP,1,0.047,16h
Exp1,Plate2,M3,MRP,1,0.38,16h
Exp1,Plate2,M3,MRP,2,0.38,16h
Exp1,Plate2,M3,MRP,3,0.38,16h
Exp1,Plate2,NA1,MRP,1,0.047,16h
Exp1,Plate3,NA1,TOB,1,0.016,16h
Exp1,Plate3,T1,TOB,1,0.38,16h
Exp1,Plate3,T1,TOB,2,0.38,16h
Exp1,Plate3,T1,TOB,3,0.38,16h
Exp1,Plate3,T2,TOB,1,0.38,16h
Exp1,Plate3,T2,TOB,2,1,16h
Exp1,Plate3,T2,TOB,3,1,16h
Exp1,Plate4,NA1,TOB,1,0.016,16h
Exp1,Plate4,T3,TOB,1,1,16h
Exp1,Plate4,T3,TOB,2,1,16h
Exp1,Plate4,T3,TOB,3,1,16h
Exp1,Plate1,M1,MRP,1,0.38,24h
Exp1,Plate1,M1,MRP,2,0.125,24h
Exp1,Plate1,M1,MRP,3,0.38,24h
Exp1,Plate1,M2,MRP,1,0.38,24h
Exp1,Plate1,M2,MRP,2,0.38,24h
Exp1,Plate1,M2,MRP,3,0.38,24h
Exp1,Plate1,NA1,MRP,1,0.047,24h
Exp1,Plate2,M3,MRP,1,0.38,24h
Exp1,Plate2,M3,MRP,2,0.38,24h
Exp1,Plate2,M3,MRP,3,0.38,24h
Exp1,Plate2,NA1,MRP,1,0.047,24h
Exp1,Plate3,NA1,TOB,1,0.047,24h
Exp1,Plate3,T1,TOB,1,1,24h
Exp1,Plate3,T1,TOB,2,1,24h
Exp1,Plate3,T1,TOB,3,3,24h
Exp1,Plate3,T2,TOB,1,3,24h
Exp1,Plate3,T2,TOB,2,3,24h
Exp1,Plate3,T2,TOB,3,3,24h
Exp1,Plate4,NA1,TOB,1,0.016,24h
Exp1,Plate4,T3,TOB,1,3,24h
Exp1,Plate4,T3,TOB,2,3,24h
Exp1,Plate4,T3,TOB,3,3,24h
