Experiment,Sample,Antibiotic,timepoint,n_replicates,mic_min,mic_max,mic_median,mic_geometric_mean
Exp1,M1,MRP,16h,3,0.38,0.38,0.38,0.38
Exp1,M1,MRP,24h,3,0.125,0.38,0.38,0.2623165763208581
Exp1,M2,MRP,16h,3,0.38,0.38,0.38,0.38
Exp1,M2,MRP,24h,3,0.38,0.38,0.38,0.38
Exp1,M3,MRP,16h,3,0.38,0.38,0.38,0.38
Exp1,M3,MRP,24h,3,0.38,0.38,0.38,0.38
Exp1,NA1,MRP,16h,2,0.047,0.047,0.047,0.04700000000000001
Exp1,NA1,MRP,24h,2,0.047,0.047,0.047,0.04700000000000001
Exp1,NA1,TOB,16h,2,0.016,0.016,0.016,0.015999999999999997
Exp1,NA1,TOB,24h,2,0.016,0.047,0.0315,0.027422618401604173
Exp1,T1,TOB,16h,3,0.38,0.38,0.38,0.38
Exp1,T1,TOB,24h,3,1,3,1,1.4422495703074083
Exp1,T2,TOB,16h,3,0.38,1,1,0.7243156443441741
Exp1,T2,TOB,24h,3,3,3,3,3.0000000000000004
Exp1,T3,TOB,16h,3,1,1,1,1
Exp1,T3,TOB,24h,3,3,3,3,3.0000000000000004
