Sample,sample_group,Antibiotic,Lineage,timepoint,n_replicates,n_censored,max_conc_tested,mic_min,mic_max,mic_median,mic_mean,mic_se,mic_geometric_mean,mic_geo_se_lower,mic_geo_se_upper
T2,T-lines,TOB,ancestor,16h,3,0,256,0.125,0.125,0.125,0.125,0,0.12500000000000003,0.12500000000000003,0.12500000000000003
T2,T-lines,TOB,evolved,16h,3,0,256,0.016,0.016,0.016,0.016,0,0.015999999999999997,0.015999999999999997,0.015999999999999997
T2,T-lines,TOB,ancestor,24h,3,0,256,0.125,0.38,0.38,0.295,0.08499999999999999,0.2623165763208581,0.18107891108604354,0.38000000000000006
T2,T-lines,TOB,evolved,24h,3,0,256,0.047,0.38,0.047,0.158,0.11100000000000002,0.09433215823708481,0.04700000000000001,0.189330980375881
T2,T-lines,TOB,ancestor,48h,3,0,256,0.38,0.38,0.38,0.38,0,0.38,0.38,0.38
T2,T-lines,TOB,evolved,48h,3,0,256,3,3,3,3,0,3.0000000000000004,3.0000000000000004,3.0000000000000004
T3,T-lines,TOB,ancestor,16h,3,0,256,0.125,0.38,0.125,0.21,0.08499999999999999,0.18107891108604354,0.12500000000000003,0.2623165763208581
T3,T-lines,TOB,evolved,16h,3,0,256,0.016,0.016,0.016,0.016,0,0.015999999999999997,0.015999999999999997,0.015999999999999997
T3,T-lines,TOB,ancestor,24h,3,0,256,0.38,0.38,0.38,0.38,0,0.38,0.38,0.38
T3,T-lines,TOB,evolved,24h,3,0,256,0.016,0.016,0.016,0.016,0,0.015999999999999997,0.015999999999999997,0.015999999999999997
T3,T-lines,TOB,ancestor,48h,3,0,256,0.38,0.38,0.38,0.38,0,0.38,0.38,0.38
T3,T-lines,TOB,evolved,48h,3,0,256,1,1,1,1,0,1,1,1
