Plate,Time_h,Well,OD,blank_mean,Type,Concentration,Sample,Antibiotic,Lineage,OD_blanked,sample_group,replicate,timepoint_label,timepoint_actual
Plate1,15.960555555555555,A1,0.096,0.09266666666666666,blank,NA,NA,NA,NA,0.003333333333333341,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A2,0.091,0.09266666666666666,blank,NA,NA,NA,NA,-0.0016666666666666635,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A3,0.091,0.09266666666666666,blank,NA,NA,NA,NA,-0.0016666666666666635,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A4,0.094,0.09266666666666666,empty,NA,NA,NA,NA,0.0013333333333333391,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A5,0.092,0.09266666666666666,empty,NA,NA,NA,NA,-6.666666666666626e-4,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A6,0.119,0.09266666666666666,sample,0,T2,TOB,evolved,0.026333333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,A7,0.119,0.09266666666666666,sample,0,T2,TOB,evolved,0.026333333333333334,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,A8,0.122,0.09266666666666666,sample,0,T2,TOB,evolved,0.029333333333333336,T-lines,3,16h,15.960555555555555
Plate1,15.960555555555555,A9,0.091,0.09266666666666666,empty,NA,NA,NA,NA,-0.0016666666666666635,NA,NA,16h,15.960555555555555
Plate1,15.960555555555555,A10,0.24,0.09266666666666666,sample,0,T2,TOB,ancestor,0.14733333333333332,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,A11,0.256,0.09266666666666666,sample,0,T2,TOB,ancestor,0.16333333333333333,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,A12,0.26,0.09266666666666666,sample,0,T2,TOB,ancestor,0.16733333333333333,T-lines,3,16h,15.960555555555555
Plate1,15.960555555555555,B1,0.124,0.09266666666666666,sample,0.016,T2,TOB,evolved,0.03133333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B2,0.121,0.09266666666666666,sample,0.047,T2,TOB,evolved,0.028333333333333335,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B3,0.117,0.09266666666666666,sample,0.125,T2,TOB,evolved,0.024333333333333346,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B4,0.11,0.09266666666666666,sample,0.38,T2,TOB,evolved,0.01733333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B5,0.103,0.09266666666666666,sample,1,T2,TOB,evolved,0.010333333333333333,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B6,0.098,0.09266666666666666,sample,3,T2,TOB,evolved,0.005333333333333343,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B7,0.095,0.09266666666666666,sample,8,T2,TOB,evolved,0.00233333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B8,0.096,0.09266666666666666,sample,16,T2,TOB,evolved,0.003333333333333341,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B9,0.095,0.09266666666666666,sample,32,T2,TOB,evolved,0.00233333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B10,0.1,0.09266666666666666,sample,64,T2,TOB,evolved,0.0073333333333333445,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B11,0.11,0.09266666666666666,sample,128,T2,TOB,evolved,0.01733333333333334,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,B12,0.098,0.09266666666666666,sample,256,T2,TOB,evolved,0.005333333333333343,T-lines,1,16h,15.960555555555555
Plate1,15.960555555555555,C1,0.115,0.09266666666666666,sample,0.016,T2,TOB,evolved,0.022333333333333344,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C2,0.112,0.09266666666666666,sample,0.047,T2,TOB,evolved,0.01933333333333334,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C3,0.111,0.09266666666666666,sample,0.125,T2,TOB,evolved,0.01833333333333334,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C4,0.106,0.09266666666666666,sample,0.38,T2,TOB,evolved,0.013333333333333336,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C5,0.105,0.09266666666666666,sample,1,T2,TOB,evolved,0.012333333333333335,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C6,0.098,0.09266666666666666,sample,3,T2,TOB,evolved,0.005333333333333343,T-lines,2,16h,15.960555555555555
Plate1,15.960555555555555,C7,0.097,0.09266666666666666,sample,8,T2,TOB,evolved,0.004333333333333342,T-lines,2,16h,15.960555555555555
